Country Name ,Country Code,Year,Internet Usage(%),GDP Growth (%),Unemployment (%)
Australia,AUS,"2,015.00",84.56,2.164347806,6.055
Australia,AUS,"2,016.00",86.54,2.755640655,5.711
Australia,AUS,"2,017.00",86.55,2.293310302,5.592
Australia,AUS,"2,018.00",90.01,2.874170395,5.345
Australia,AUS,"2,019.00",93.61,2.194017036,5.143
Australia,AUS,"2,020.00",94.69,-0.1335319043,6.394
Australia,AUS,"2,021.00",96.97,2.006948443,5.022
Australia,AUS,"2,022.00",96.12,4.253045592,3.728
Australia,AUS,"2,023.00",96.12,3.583821008,3.668
Australia,AUS,"2,024.00",96.13,1.373407734,3.942
Brazil,BRA,"2,015.00",58.33,-3.545763393,8.538
Brazil,BRA,"2,016.00",60.87,-3.275916908,11.58
Brazil,BRA,"2,017.00",67.47,1.322869054,12.792
Brazil,BRA,"2,018.00",70.43,1.783666762,12.329
Brazil,BRA,"2,019.00",73.91,1.220777824,11.936
Brazil,BRA,"2,020.00",81.34,-3.276758796,13.697
Brazil,BRA,"2,021.00",80.69,4.762604379,13.158
Brazil,BRA,"2,022.00",80.53,3.016694354,9.231
Brazil,BRA,"2,023.00",84.15,3.241655329,7.947
Brazil,BRA,"2,024.00",84.46,3.419315165,6.801
China,CHN,"2,015.00",50.30,6.981622556,4.65
China,CHN,"2,016.00",53.20,6.773688687,4.56
China,CHN,"2,017.00",54.30,6.891239166,4.47
China,CHN,"2,018.00",65.36,6.757806142,4.31
China,CHN,"2,019.00",64.08,6.067378063,4.56
China,CHN,"2,020.00",70.05,2.339503852,5
China,CHN,"2,021.00",73.05,8.57038415,4.55
China,CHN,"2,022.00",75.61,3.133854384,4.98
China,CHN,"2,023.00",90.60,5.416003345,4.67
China,CHN,"2,024.00",92.00,4.958303788,4.59
Germany,DEU,"2,015.00",87.59,1.663006023,4.612
Germany,DEU,"2,016.00",84.17,2.222222163,4.104
Germany,DEU,"2,017.00",84.39,2.797906721,3.781
Germany,DEU,"2,018.00",87.04,1.135696046,3.384
Germany,DEU,"2,019.00",88.13,0.977734697,3.163
Germany,DEU,"2,020.00",89.81,-4.131914432,3.881
Germany,DEU,"2,021.00",91.43,3.909999942,3.594
Germany,DEU,"2,022.00",91.63,1.809258124,3.137
Germany,DEU,"2,023.00",92.48,-0.8696475786,3.071
Germany,DEU,"2,024.00",93.50,-0.4958518973,3.4
